AQI,Class
24.405,0
42.08875,1
44.635,1
33.735416666666666,0
48.138749999999995,0
63.155,0
62.83708333333334,0
64.94291666666668,0
60.15583333333334,1
5.918958333333333,1
52.71958333333333,0
92.62041666666669,0
55.90875,0
65.96583333333334,0
61.50875,0
77.31625000000001,1
104.16060272536687,1
81.73041666666667,0
71.00291666666668,0
103.11768343815514,0
73.42625,0
64.94875,0
60.649166666666666,1
49.08625,1
48.86916666666667,0
67.3825,0
71.6725,0
46.70250000000001,0
55.56875,0
30.454583333333332,1
25.00666666666667,1
62.46041666666667,0
43.56166666666667,0
16.952916666666667,0
24.792916666666667,0
76.18875,0
68.62333333333333,1
39.48458333333333,1
59.40958333333333,0
46.01416666666666,0
56.645833333333336,0
58.940416666666664,0
30.882499999999997,0
34.7175,1
53.42166666666666,1
66.29125,0
77.02666666666667,0
61.81958333333333,0
55.52166666666667,0
33.830000000000005,0
9.54625,1
3.4491666666666667,1
14.645416666666668,0
6.080000000000001,0
3.4971553030303024,0
10.416666666666666,0
31.381666666666664,0
4.221371212121212,1
4.348,1
10.602500000000001,0
27.218333333333334,0
5.629166666666667,0
3.9444962121212117,0
17.166249999999998,0
25.675833333333333,1
3.995613636363636,1
3.692083333333333,0
4.031643939393939,0
4.280878787878788,0
3.859916666666667,0
3.978348484848485,0
4.24317803030303,1
4.209738636363636,1
4.09173106060606,0
4.147814393939393,0
8.618333333333334,0
14.516666666666666,0
4.310246212121212,0
4.398204545454545,1
4.974924242424242,1
41.916666666666664,0
13.043333333333331,0
42.415416666666665,0
4.798291666666667,0
38.42625,0
74.43541666666667,1
76.65208333333334,1
5.050208333333334,0
53.714999999999996,0
27.420833333333334,0
30.325833333333335,0
71.71041666666666,0
52.51291666666666,1
40.51416666666666,1
28.031666666666666,0
24.098333333333333,0
12.803333333333335,0
13.78625,0
16.142083333333332,0
16.032083333333333,1
43.70666666666667,1
72.90666666666665,0
37.04833333333333,0
27.28333333333333,0
44.79124999999999,0
16.341250000000002,0
14.365,1
19.99291666666667,1
38.170833333333334,0
68.40458333333333,0
56.06166666666667,0
11.52375,0
18.84166666666667,0
15.185,1
8.293333333333335,1
59.44416666666667,0
71.64708333333333,0
28.959166666666665,0
25.566249999999997,0
12.571666666666667,0
14.764166666666666,1
20.934583333333332,1
65.66416666666667,0
40.0925,0
18.02625,0
32.73,0
33.43208333333334,0
44.89333333333334,1
67.77708333333334,1
17.174166666666665,0
29.883750000000003,0
37.11833333333333,0
51.56333333333333,0
73.18458333333332,0
62.15958333333333,1
18.561666666666664,1
16.725416666666664,0
21.41625,0
20.920833333333334,0
29.979166666666668,0
25.894166666666667,0
49.923750000000005,1
44.78458333333333,1
59.12541666666666,0
40.3975,0
46.558749999999996,0
65.98833333333333,0
62.46666666666666,0
84.12,1
5.172083333333333,1
62.65083333333334,0
48.52,0
41.764583333333334,0
20.6775,0
45.08458333333332,0
45.34958333333333,1
27.415000000000003,1
28.752916666666668,0
31.901666666666667,0
37.694583333333334,0
35.29208333333333,0
43.9475,0
41.31249999999999,1
39.254999999999995,1
49.55125,0
48.56916666666667,0
17.39875,0
38.53958333333333,0
35.54333333333333,0
31.349166666666665,1
45.56458333333334,1
56.27375000000001,0
6.0425,0
32.56333333333333,0
34.10708333333333,0
36.468333333333334,0
20.441666666666666,1
30.206666666666667,1
45.31,0
48.21041666666667,0
37.92,0
26.698333333333334,0
25.00125,0
14.44041666666667,1
10.504999999999999,1
17.47,0
30.385833333333334,0
35.35208333333333,0
16.170416666666668,0
21.777083333333334,0
30.807916666666667,1
42.84583333333333,1
46.40166666666667,0
48.20624999999999,0
76.78791666666666,0
96.84791666666666,0
98.71124999999999,0
101.87907232704403,1
109.82500786163521,1
99.37541666666668,0
110.53008909853249,0
91.65625,0
24.884583333333335,0
18.473333333333333,0
13.110000000000001,1
17.87,1
16.739166666666666,0
9.113750000000001,0
12.871666666666668,0
19.018333333333334,0
14.877083333333331,0
12.621249999999998,1
20.84875,1
24.45,0
23.70875,0
26.090416666666666,0
26.069583333333338,0
9.792083333333332,0
10.065833333333334,1
7.228333333333334,1
13.386666666666668,0
30.499166666666667,0
43.73041666666668,0
32.568333333333335,0
34.25416666666666,0
23.93083333333333,1
34.91375,1
43.449166666666656,0
39.819583333333334,0
28.9025,0
32.44416666666667,0
31.448333333333334,0
34.770833333333336,1
46.1975,1
36.09375,0
31.616666666666664,0
26.09125,0
30.70333333333333,0
39.44625,0
42.11083333333333,1
35.68125,1
12.4225,0
16.426666666666666,0
27.905833333333334,0
33.23833333333334,0
34.395833333333336,0
28.695833333333336,1
27.90416666666667,1
31.11125,0
27.257083333333338,0
8.919583333333334,0
